,Unnamed: 0,店,日,時台,RECNO,加工ｺｰﾄﾞ,性別,年代,部門,AU,ﾗｲﾝ,ｸﾗｽ,JANｺｰﾄﾞ,商品名,規格名,売上数量,売上金額,見切数量,見切金額,特売数量,特売金額,ﾁﾗｼ,税抜定番売価
0,0,263,20170921,9,R20170921-10074970,非会員,不明,不明,1120,124,7,2,J0283562000000,カナダ三元豚ロースカツ用,１００ｇ＊３枚,1,260,0,0,0,0,0,1
1,1,263,20170921,9,R20170921-10074970,非会員,不明,不明,1120,124,1,2,J0283566000000,カナダ三元豚ロースしゃぶしゃぶ用,３５０ｇ,1,320,0,0,0,0,0,1
2,2,263,20170921,9,R20170921-10074970,非会員,不明,不明,1110,110,2,3,J0400100013489,人参,,3,97,0,0,3,16,0,38
3,3,263,20170921,9,R20170921-10074970,非会員,不明,不明,1150,162,2,1,J4901160016404,おかめ納豆  つゆたっぷり納豆,４０ｇｘ３,1,90,0,0,1,4,0,95
4,4,263,20170921,9,R20170921-10074970,非会員,不明,不明,1210,228,1,1,J4901815888059,スドー  紙カップいちごジャム,１３５ｇ,1,97,0,0,1,2,0,100
5,5,263,20170921,9,R20170921-10074970,非会員,不明,不明,1210,228,1,1,J4901815888073,スドー  紙カップチョコレート,１３５ｇ,1,97,0,0,1,2,0,100
6,6,263,20170921,9,R20170921-10074970,非会員,不明,不明,1110,110,4,2,J4908301334519,ピーマン,１フクロ,1,97,0,0,0,0,0,98
7,7,263,20170921,9,R20170921-10074971,非会員,不明,不明,1150,173,1,2,J4903110003205,ヤマザキメロンパンの皮３,１個入,4,271,0,0,0,0,0,68
8,8,263,20170921,9,R20170921-10074972,非会員,不明,不明,1210,211,1,5,J4901340016743,アサヒ  濃いめのカルピス,４９０ｍｌ,1,73,0,0,1,16,0,89
9,9,263,20170921,9,R20170921-20074862,P3WW60BJEKS,女性,30代,1210,216,1,1,J4902110318609,日清Ｆ  ママーパスタＫミートソース,１４０ｇ,1,97,0,0,1,7,0,105
10,10,263,20170921,9,R20170921-20074862,P3WW60BJEKS,女性,30代,1210,216,1,1,J4902110318999,日清Ｆ  ママーパスタＫカルボナーラ,１３０ｇ,1,97,0,0,1,7,0,105
11,11,263,20170921,9,R20170921-20074862,P3WW60BJEKS,女性,30代,1210,216,1,0,J4902160134037,くらしモア  早ゆでスパゲッティ１．６,２４０ｇ,1,108,0,0,0,0,0,108
12,12,263,20170921,9,R20170921-20074862,P3WW60BJEKS,女性,30代,1150,173,1,2,J4902410297895,フジ  アンパンマンのまんまるたまご,６個入,1,150,0,0,0,0,0,150
13,13,263,20170921,9,R20170921-20074862,P3WW60BJEKS,女性,30代,1150,169,1,3,J4902720065603,森永  ピクニックカフェオレ  プリズマ,２００ｍｌ,1,68,0,0,1,7,0,75
14,14,263,20170921,9,R20170921-20074862,P3WW60BJEKS,女性,30代,1150,173,1,0,J4903110003724,ヤマザキチョコゴールド,３枚入,1,128,0,0,0,0,0,128
15,15,263,20170921,9,R20170921-20074862,P3WW60BJEKS,女性,30代,1150,169,1,4,J4908011700550,雪印メグ  Ｄｏｌｅ濃いベリーグレープ,２００ｍｌ,1,88,0,0,0,0,0,88
16,16,263,20170921,9,R20170921-20074863,P0QS10FGEDS,男性,70代,1110,110,1,6,J4589510860015,スプラッシュミニトマト,１３０ｇ,3,592,0,0,0,0,0,198
17,17,263,20170921,9,R20170921-20074863,P0QS10FGEDS,男性,70代,1150,169,1,8,J4901306244067,カゴメ  野菜生活１００ケース,２００ｘ１２,2,1794,0,0,2,216,0,1006
18,18,263,20170921,9,R20170921-20074863,P0QS10FGEDS,男性,70代,1210,210,1,1,J4902160133160,くらしモア  ライトツナまぐろ,８０ｇ×３缶,1,238,0,0,1,26,0,265
19,19,263,20170921,9,R20170921-20074863,P0QS10FGEDS,男性,70代,1210,210,1,1,J4902160133177,くらしモア  ライトツナかつお,８０ｇ×３缶,1,238,0,0,1,26,0,265
20,20,263,20170921,9,R20170921-20074863,P0QS10FGEDS,男性,70代,1150,169,1,1,J4902705126558,明治  おいしい牛乳,９００ｍｌ,1,218,0,0,1,10,0,228
21,21,263,20170921,9,R20170921-20074863,P0QS10FGEDS,男性,70代,1150,170,1,1,J49720303     ,明治ヨーグルトＲー１砂糖０,１１２ｇ,5,639,0,0,0,0,0,128
22,22,263,20170921,9,R20170921-20074864,P4UL10GJGES,女性,70代,1150,171,1,2,J4902053117321,トーラクらくらくホイップチョコレート,２２０ｍｌ,1,188,0,0,1,0,0,189
23,23,263,20170921,9,R20170921-20074864,P4UL10GJGES,女性,70代,1150,172,3,2,J4903050100286,雪印メグ  ケーキ用マーガリン,１００ｇ×２,1,189,0,0,0,0,0,189
24,24,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,117,1,1,J0215137000000,生産者,,1,144,0,0,0,0,0,1
25,25,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1130,193,2,1,J0242111000000,塩さんま２尾パック,,1,300,0,0,0,0,0,1
26,26,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1120,120,4,3,J0280945000000,山形牛モモ焼肉用,インストア,1,613,0,0,0,0,0,1
27,27,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1120,120,0,4,J0280961000000,黒毛和牛肩ロースうすぎり,１４０ｇ,1,743,1,742,0,0,0,1
28,28,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1120,125,9,3,J0285811000000,国産若鶏ささみ,１８０ｇ,1,225,0,0,0,0,0,1
29,29,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,1,2,J0400100012789,トマト  バラ  ２Ｌサイズ,,1,157,0,0,0,0,0,158
30,30,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,6,1,J0400100017579,玉ねぎ,,3,86,0,0,0,0,0,29
31,31,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,161,3,2,J4571364730231,デイリーエッグ  伊賀からの便り赤玉,１０コイリ,1,228,0,0,0,0,0,228
32,32,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1210,222,1,0,J4901001131075,味の素  ふんわりたまごスープ,３４ｇ,1,278,0,0,1,54,0,333
33,33,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,166,3,5,J4901520133994,ＴＭかぼちゃの重ね揚げ,４個入,1,157,0,0,1,39,0,198
34,34,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,169,1,1,J4902160200565,くらしモアみどりの国牛乳,１０００ｍｌ,1,168,0,0,1,12,0,180
35,35,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,172,4,2,J4902160211554,くらしモア  とろけるスライス７枚,１２６ｇ,1,168,0,0,1,21,0,189
36,36,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,172,4,3,J4902160211721,くらしモア  ベビーチーズカマンベール,６０ｇ,1,97,0,0,0,0,0,98
37,37,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,165,3,1,J4902553036450,ふじっ子  おばんさい小鉢  切干大根,４２ｇｘ２,1,188,0,0,0,0,0,188
38,38,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,164,4,4,J4902705125308,明治エッセル超バニラ,２００ｍｌ,2,176,0,0,2,29,0,103
39,39,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1210,214,1,2,J4902713129459,マルコメ  プラス糀甘酒,１２５ｇ,2,256,0,0,0,0,0,128
40,40,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1120,126,9,1,J4902715272702,いつも新鮮ロースハム,１６０ｇ,1,297,0,0,1,82,0,380
41,41,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,4,2,J4908301334519,ピーマン,１フクロ,1,97,0,0,0,0,0,98
42,42,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,162,1,1,J4958293000213,オークワ食品工場  絹とうふ３段,１５０ｇｘ３,1,72,0,0,1,15,0,88
43,43,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,162,3,2,J4958293003283,オークワ  生芋糸こんにゃく,１８０ｇ,1,94,0,0,1,27,0,123
44,44,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1150,170,1,1,J49722819     ,明治  プロビオＹＧＬＧ２１砂糖０,１１２ｇ,2,256,0,0,0,0,0,128
45,45,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,2,3,J4982909705728,洋人参  袋,,1,97,0,0,0,0,0,98
46,46,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,5,5,J4982909715901,カツトネギ,３０Ｇ,1,97,0,0,0,0,0,98
47,47,263,20170921,9,R20170921-20105043,P3WM70GGDKS,女性,60代,1110,110,3,3,J4985761100014,ブナシメジ,,1,97,0,0,0,0,0,98
